2.100000000000000089e+00,2.064999999999999947e+00,2.039000000000000146e+00,2.064999999999999947e+00,2.060999999999999943e+00,2.132000000000000117e+00,2.025999999999999801e+00,2.035000000000000142e+00
2.076999999999999957e+00,2.039000000000000146e+00,2.064999999999999947e+00,2.009999999999999787e+00,2.132000000000000117e+00,2.087000000000000188e+00,2.125999999999999890e+00,2.028999999999999915e+00
2.025999999999999801e+00,2.064999999999999947e+00,2.009999999999999787e+00,2.023000000000000131e+00,2.039000000000000146e+00,2.165000000000000036e+00,2.080999999999999961e+00,1.987000000000000099e+00
2.096999999999999975e+00,2.064999999999999947e+00,2.044999999999999929e+00,1.935000000000000053e+00,2.100000000000000089e+00,2.112999999999999989e+00,2.112999999999999989e+00,1.971000000000000085e+00
2.052000000000000046e+00,2.105999999999999872e+00,2.064999999999999947e+00,2.064999999999999947e+00,2.048000000000000043e+00,2.165000000000000036e+00,2.064999999999999947e+00,1.971000000000000085e+00
2.073999999999999844e+00,2.112999999999999989e+00,2.064999999999999947e+00,2.025999999999999801e+00,2.112999999999999989e+00,2.089999999999999858e+00,2.041999999999999815e+00,1.997000000000000108e+00
2.060999999999999943e+00,2.100000000000000089e+00,2.039000000000000146e+00,2.023000000000000131e+00,2.093999999999999861e+00,2.064999999999999947e+00,2.071000000000000174e+00,1.971000000000000085e+00
2.025999999999999801e+00,2.041999999999999815e+00,2.009999999999999787e+00,2.052000000000000046e+00,2.048000000000000043e+00,2.138999999999999790e+00,2.032000000000000028e+00,2.141999999999999904e+00
2.064999999999999947e+00,2.064999999999999947e+00,2.000000000000000000e+00,2.012999999999999901e+00,2.080999999999999961e+00,2.087000000000000188e+00,2.064999999999999947e+00,1.983999999999999986e+00
2.112999999999999989e+00,2.132000000000000117e+00,2.009999999999999787e+00,2.032000000000000028e+00,2.132000000000000117e+00,2.152000000000000135e+00,1.987000000000000099e+00,2.100000000000000089e+00
